"county","city","zip","street","price","br","lsqft","bsqft","year","date","long","lat"
"Santa Clara County","Greater Downtown-metro Area",95112,"800 North 8th Street \#107",495000,NA,NA,NA,NA,"2005-05-15",NA,NA
"San Francisco County","San Francisco",94118,"3657 Clay Street",560000,1,NA,893,"1912","2005-07-17",-122.453061,37.788309
"San Francisco County","San Francisco",94107,"239 Brannan Street \#9J",1425000,2,NA,1393,"2002","2005-10-23",-122.390639,37.78297
"Contra Costa County","Concord",94520,"1237 Pine Creek Way #B",278000,2,792,1089,"1971","2004-12-05",NA,NA
"Alameda County","Fremont",94538,"39199 Guardino Drive \#270",337500,NA,NA,NA,NA,"2005-04-03",-121.967906,37.527237
"Solano County","Vacaville",95687,"825 Cedarcrest Drive",570000,4,6143,2333,"1999","2005-08-28",-121.95561,38.320146
"Alameda County","Hayward",94544,"24683 Joanne Street",585000,NA,NA,1625,"1950","2005-10-16",-122.079155,37.660061
"Solano County","Fairfield",94534,"3509 Serenity Court",800500,NA,12654,NA,NA,"2005-01-02",-122.054256,38.257763
"Contra Costa County","Antioch",94509,"3534 Waxwing Way",656000,NA,7805,NA,NA,"2005-10-16",-121.802225,37.992421
"Alameda county","Emeryville",94608,"6 Captain Drive #E326",229000,NA,NA,467,"1973","2004-02-01",NA,NA
"Solano County","Rio Vista",94571,"310 Magnolia Drive",671500,NA,9426,NA,NA,"2006-01-01",-121.712837,38.189085
"Contra Costa County","Walnut Creek",94595,"1904 Ptarmigan Drive #4",285000,2,65340000,1212,"1971","2004-01-25",NA,NA
"Marin County","San Rafael",94901,"15 Sonoma Street #C",359000,3,1650,1264,"1963","2004-03-07",NA,NA
"Solano County","Vacaville",95687,"1163 Whitehall Way",265000,3,5662,1254,"1977","2003-06-08",-121.972683,38.35381
"San Mateo County","San Mateo",94402,"524 Yale Drive",1550000,3,16830,3740,"1951","2006-02-26",-122.337325,37.549529
"Contra Costa County","Oakley",94561,"5057 Gaspar Court",295000,3,6000,1120,"1994","2003-09-14",-121.724794,37.99854
"Alameda County","Alameda",94501,"1170 9th Street #8",233000,1,64468,665,"1959","2003-06-22",NA,NA
"Alameda County","Dublin",94568,"5018 Round Hill Drive",1100000,NA,8941,NA,NA,"2005-05-29",-121.925676,37.714179
"San Francisco county","San Francisco",94117,"56 Potomac Street",905000,3,2247,1745,NA,"2003-07-20",-122.432623,37.770438
"Solano County","Dixon",95620,"1015 North Lincoln Street",298000,3,6969,1734,"1979","2003-05-11",-121.837626,38.454765
"Contra Costa County","Walnut Creek",94598,"1091 West Holly Drive",550000,4,8979,1899,"1941","2003-06-29",-122.05,37.903536
"Alameda County","Oakland",94618,"5824 Ross Street",1100000,3,4500,2039,"1929","2004-08-01",-122.246347,37.848657
"Contra Costa County","Discovery Bay",94514,"2065 Bowsprit Court",585000,4,8260,1897,"1987","2005-02-13",-121.604375,37.902303
"Contra Costa County","El Sobrante",94803,"903 Appian Knoll Court",465000,2,1800,1352,"1992","2005-05-22",-122.297488,37.985598
"Santa Clara County","Evergreen",95122,"1072 Summershore Court",385000,1,436,961,"1992","2005-10-16",-121.84181,37.318735
"Santa Clara County","Almaden",95120,"1439 Montego Drive",995000,5,6534,2673,"1971","2005-05-15",NA,NA
"Solano County","Fairfield",94533,"385 Hopkins Drive",325000,3,5227,1240,"1956","2005-01-23",-122.030393,38.2563
"Alameda County","Oakland",94619,"4614 Redwood Road",719000,3,1976,2102,"1992","2006-04-23",-122.177426,37.795353
"San Mateo County","Pacifica",94044,"367 Inverness Drive",658000,3,4000,1260,"1964","2004-08-29",-122.477889,37.652324
"Contra Costa County","Antioch",94509,"2257 Renwick Lane",284000,2,NA,1008,"1988","2005-02-13",-121.788191,38.000394
"Contra Costa County","Antioch",94509,"1605 Poppy Way",436000,4,5400,1313,"1965","2005-06-12",-121.829274,38.009193
"San Mateo County","Daly City",94014,"276 Greenview Drive",695000,2,NA,1487,"1985","2006-05-28",-122.445067,37.703285
"Alameda County","Oakland",94601,"4028 East 18th Street",350000,2,2625,1140,"1950","2003-09-21",-122.215839,37.776119
"Contra Costa County","Brentwood",94513,"925 Snapdragon Way",378500,NA,NA,NA,NA,"2004-07-11",-121.709536,37.935311
"San Francisco County","San Francisco",94122,"1821 44th Avenue",749000,3,3000,1832,"1939","2005-09-04",-122.503245,37.752666
"Santa Clara County","North San Jose",95131,"1658 Pinetree Court",455000,3,6970,1041,"1974","2003-11-23",-121.880866,37.390008
"Solano county","Fairfield",94533,"26 Manchester Drive",240000,3,1587,1285,"1992","2003-08-17",-121.96873,38.276234
"Alameda County","Castro Valley",94546,"19229 Lake Chabot Road",695000,2,5035,888,"1950","2006-04-09",-122.089738,37.705763
"Alameda County","Pleasanton",94588,"3471 Dennis Drive",1230000,5,12480,2837,"1995","2005-11-27",-121.863887,37.692164
"Contra Costa County","Pittsburg",94565,"752 Andrea Way",342000,3,6000,992,"1981","2004-11-14",-121.912562,38.018976
"Alameda County","Fremont",94539,"618 Sylvaner Way",579000,4,6250,1897,"1986","2003-05-18",-121.908521,37.467491
"Santa Clara county","Milpitas",95035,"764 Superior Road",560500,3,2614,1860,"1984","2004-10-10",-121.906586,37.442879
"Contra Costa County","Oakley",94561,"4253 Salgado Avenue",265000,3,5300,1100,"1989","2004-04-04",-121.71698,37.989771
"Contra Costa County","Martinez",94553,"2246 Olympic Drive",579000,4,7500,1591,"1966","2005-06-05",-122.082045,37.985113
"Santa Clara County","Greater Downtown-metro Area",95112,"1060 South 3rd Street \#241",325000,NA,NA,NA,NA,"2006-01-22",NA,NA
"Contra Costa County","Danville",94526,"8 Campbell Place",1200000,4,15500,3613,"1998","2004-01-04",-121.9628,37.817388
"San Francisco County","San Francisco",94131,"519 Valley Street",715000,NA,2622,NA,NA,"2005-03-13",-122.433814,37.744085
"Santa Clara County","East San Jose",95127,"16180 Alum Rock Avenue",470000,3,9583,1710,"1947","2004-09-05",-121.817487,37.391688
"San Mateo County","San Carlos",94070,"1027 Porto Marino Drive",1195000,4,61600,3400,"1979","2004-11-07",-122.272099,37.489437
"Santa Clara County","Los Altos",94022,"254 Alvarado Avenue",1235000,3,9148,1999,"1953","2004-12-12",-122.108489,37.392338
"Solano County","Suisun City",94585,"828 Blue Bill Way",350000,4,6098,1304,"1976","2005-09-04",-122.014161,38.250577
"Santa Clara County","Morgan Hill",95037,"17625 Woodland Court",733000,4,47480,3104,"1978","2004-03-14",-121.687431,37.122178
"Contra Costa County","Martinez",94553,"4912 John Muir Road",980000,4,49223,2755,"1976","2004-10-24",-122.114601,37.984999
"Alameda County","Fremont",94538,"40739 Max Drive",448000,3,5400,1216,"1955","2004-10-17",-121.962448,37.536787
"Contra Costa County","Concord",94520,"2230 Yukon Street",490000,4,6300,1244,"1960","2006-04-30",-122.032156,38.005522
"Santa Clara County","Evergreen",95122,"1514 Cathay Drive",555000,3,4792,1040,"1959","2005-08-21",-121.833607,37.338482
"Contra Costa County","San Ramon",94582,"224 Opal Court",651000,3,2000,1533,"1996","2005-03-13",-121.949711,37.77308
"Contra Costa County","Brentwood",94513,"172 Putter Drive",690000,4,7417,2269,"1998","2005-04-17",-121.737372,37.927378
"Contra Costa county","Richmond",94805,"6604 Aqua Vista Court",569000,2,3900,1397,"1939","2005-03-27",-122.308095,37.938946
"Contra Costa County","Hercules",94547,"123 Worthing",475000,3,NA,1393,"1984","2006-02-26",-122.257796,38.015857
"Sonoma County","Santa Rosa",95405,"112 Alderbrook Drive",550000,2,5700,1309,"1949","2005-02-06",-122.697314,38.448916
"Santa Clara County","Cambrian",95124,"4036 Ashbrook Circle",9e+05,5,5663,2561,"1976","2005-05-29",-121.945556,37.256853
"Sonoma county","Windsor",95492,"401 Cayetano Court",732000,4,7187,2237,"1989","2005-09-04",-122.789603,38.558492
"Sonoma County","Santa Rosa",95407,"980 Kenmore Lane",327000,2,16988,977,"1940","2004-02-29",-122.727509,38.404991
"Alameda County","Union City",94587,"2261 Partridge Way #4",260000,2,NA,798,"1972","2004-12-26",NA,NA
"Alameda County","San Lorenzo",94580,"15909 Bayberry Lane",5e+05,4,4507,1948,"1995","2004-07-11",-122.121277,37.697846
"Santa Clara County","Cupertino",95014,"20559 Rodrigues Avenue",9e+05,3,8712,2101,"1953","2005-01-02",-122.033083,37.319111
"San Mateo County","Woodside",94062,"4 Fremont Way",789000,2,22800,1030,"1935","2005-02-13",-122.263981,37.382795
"Santa Clara County","East San Jose",95127,"3208 McKee Road",410000,3,5227,1141,"1977","2004-09-19",-121.820772,37.369473
"Solano County","Fairfield",94533,"2589 Rowe Drive",342000,NA,3910,NA,NA,"2004-04-25",-122.037019,38.269582
"Contra Costa County","Martinez",94553,"762 Center Avenue",325000,3,1000,1390,"1981","2004-01-25",-122.117471,37.993351
"Solano County","Vallejo",94590,"215 Rodgers Street",180000,2,435,720,"1977","2004-06-06",-122.268373,38.122054
"San Francisco County","San Francisco",94108,"1170 Sacramento Street #18D",3450000,NA,NA,NA,NA,"2004-05-09",NA,NA
"Alameda County","Castro Valley",94552,"5404 Briar Ridge Drive",503000,2,882,1397,"1978","2005-10-09",-122.053435,37.712503
"Santa Clara County","West San Jose",95128,"2310 West Hedding Street",551000,3,5663,1407,"1950","2004-07-04",-121.944098,37.330131
"Contra Costa County","Walnut Creek",94595,"1621 Ptarmigan Drive \#6C",255000,1,NA,853,"1971","2005-08-14",-122.075948,37.858416
"Santa Clara County","Berryessa",95116,"125 Jose Figueres Avenue",310000,3,871,1180,"1977","2004-09-26",-121.848903,37.359565
"Contra Costa County","Martinez",94553,"619 Center Avenue",305000,2,NA,890,"1981","2005-02-13",-122.118325,37.992472
"Contra Costa County","Pleasant Hill",94523,"48 Alan Drive",470000,3,5850,1164,"1952","2004-10-10",-122.063699,37.963302
"Contra Costa County","Richmond",94804,"638 26th Street",380000,3,4500,1834,"1939","2004-06-27",-122.342482,37.940752
"Sonoma County","Santa Rosa",95409,"74 Aspen Meadows Circle",410000,2,3049,1718,"1975","2004-05-16",-122.609257,38.445224
"Santa Clara County","Evergreen",95148,"4134 Linetta Court",864000,NA,NA,NA,NA,"2004-10-10",-121.791414,37.330496
"Solano County","Fairfield",94534,"632 Capri Court",466000,NA,4165,NA,NA,"2004-05-09",-122.054256,38.257763
"Santa Clara County","West San Jose",95129,"791 Aurora Avenue",525000,3,6098,1107,"1955","2003-11-30",-121.978415,37.312853
"Napa County","Napa",94559,"19 Belvedere Court",237000,2,871,960,"1972","2003-05-11",-122.268649,38.286419
"San Mateo County","San Mateo",94402,"2 Weepingridge Court",760000,3,1768,1600,"1974","2005-09-04",-122.332284,37.528552
"Contra Costa County","Oakley",94561,"50 Isola Court",457000,3,7200,1571,"1989","2006-06-04",-121.730208,37.983932
"Contra Costa County","Hercules",94547,"1291 Promenade Street",577000,NA,NA,NA,NA,"2004-07-04",-122.258742,38.007489
"Santa Clara County","Willow Glen",95125,"833 Dederick Court",795000,4,3485,2429,"1999","2004-11-14",-121.87521,37.283208
"Alameda County","Livermore",94550,"704 Hillcrest Avenue",420000,2,6000,780,"1940","2004-10-31",-121.748251,37.681539
"Contra Costa County","Antioch",94509,"1223 Putnam Street",475000,3,7210,1498,"1972","2005-07-10",-121.825786,37.990174
"Santa Clara County","Evergreen",95148,"3117 Heritage Valley Drive",648000,4,5663,1606,"1987","2004-11-07",-121.791414,37.330496
"Napa County","Napa",94558,"19 Lavender Place",479000,NA,NA,NA,NA,"2005-11-27",-122.298885,38.304764
"San Francisco County","San Francisco",94114,"59 States Street",949000,NA,NA,NA,NA,"2003-04-27",-122.436481,37.76338
"Alameda County","Hayward",94544,"31214 Tepic Place #26",342000,3,NA,1435,"1981","2004-01-04",NA,NA
"Solano county","Fairfield",94533,"110 Manchester Drive",323000,2,763,1029,"1994","2006-04-02",-121.968903,38.277296
"Alameda County","Fremont",94538,"3821 Cosmic Place",660000,NA,7500,1514,"1979","2005-09-11",-121.968937,37.540048
"Alameda County","Fremont",94555,"34198 Tony Terrace",695000,3,3282,1481,"1988","2005-07-24",-122.058788,37.561118
"Santa Clara County","Almaden",95120,"5993 Post Oak Circle",945000,3,4792,2393,"1985","2005-12-11",NA,NA
"Santa Clara county","Berryessa",95116,"780 Bonita Avenue",368000,NA,NA,NA,NA,"2005-03-06",-121.85484,37.340191
"Sonoma County","Petaluma",94954,"112 Park Place Drive",385000,2,NA,1356,"1986","2004-11-14",-122.633732,38.256462
"Santa Clara County","Gilroy",95020,"711 Georgetown Place",760000,3,6534,2034,"1996","2005-11-27",-121.576376,37.002871
"Santa Clara County","Los Gatos",95032,"260 Old Adobe Road",1235000,4,10019,2196,"1962","2004-11-07",-121.990566,37.251936
"Sonoma County","Santa Rosa",95401,"2426 West College Avenue",375000,3,6534,1720,"1978","2004-01-11",-122.745633,38.440111
"Contra Costa County","Oakley",94561,"35 Vitruvius Court",583000,NA,NA,NA,NA,"2006-01-29",-121.71834,37.993474
"Alameda County","Union City",94587,"324 Riviera Drive",580000,3,6912,1430,"1964","2004-11-21",-122.002099,37.594518
"San Mateo County","San Mateo",94402,"1136 Hawthorne Drive",750000,3,4500,1190,"1946","2005-04-03",-122.310297,37.561041
"Alameda County","Oakland",94621,"6416 Flora Street",250000,1,2600,948,"1924","2003-11-09",-122.191636,37.765316
"Solano County","Benicia",94510,"1589 London Circle",376500,3,2178,1480,"1980","2004-08-08",-122.182243,38.071802
"Alameda County","San Lorenzo",94580,"2062 Bandoni Avenue",630000,3,5141,1488,"1957","2005-08-28",-122.145182,37.666234
"Solano County","Rio Vista",94571,"20 Seminole Court",338000,2,6403,1364,"1999","2004-12-12",-121.708457,38.178191
"San Mateo County","San Mateo",94402,"40 West 3rd Avenue #1003",8e+05,2,NA,1494,"1980","2003-07-06",NA,NA
"Santa Clara County","North San Jose",95131,"1549 Rue Avati",505000,3,3049,1511,"1994","2003-11-09",-121.880492,37.388392
"Alameda County","Oakland",94601,"5336 Bancroft Avenue",3e+05,3,4800,1212,"1920","2003-12-28",-122.20219,37.7715
"Marin County","San Geronimo",94963,"180 Meadow Way",825000,3,11244,1850,"1959","2006-04-16",-122.667052,38.01277
"Santa Clara County","Evergreen",95148,"3359 Casalegno Court",1449000,NA,NA,NA,NA,"2005-04-17",-121.791414,37.330496
"Santa Clara County","Monte Sereno",95030,"16055 Mays Avenue",2100000,4,10019,3380,"1956","2005-12-11",-121.983206,37.234366
"Alameda County","Pleasanton",94588,"3966 Pimlico Drive",244000,2,787,1120,"1971","2005-05-22",-121.892442,37.68973
"Alameda County","Livermore",94551,"1549 Hollyhock Street",530000,2,6000,1280,"1963","2006-02-26",-121.742452,37.713063
"Santa Clara County","San Jose",95126,"1398 Shasta Avenue",620000,2,6534,1896,"1924","2004-02-29",-121.918647,37.329543
"Santa Clara county","Santa Clara",95051,"1343 Sarita Way",490000,3,1742,1845,"1978","2004-02-08",-121.997469,37.348989
"Alameda County","Livermore",94551,"2038 Mulberry Common",604500,3,2960,1526,"1999","2006-04-02",-121.721938,37.723514
"Santa Clara County","Santa Clara",95051,"1400 Bowe Avenue",395000,NA,NA,NA,NA,"2004-12-26",-121.973845,37.350407
"Alameda County","Oakland",94605,"2738 106th Avenue",309000,2,4940,1007,"1938","2004-08-22",-122.151128,37.743162
"Santa Clara County","Gilroy",95020,"7111 Pitlochry Drive",995000,5,11761,4129,"2001","2004-11-07",-121.58008,37.012048
"Santa Clara county","North San Jose",95131,"1511 Briartree Drive",301000,2,1200,922,"1988","2003-06-29",-121.882233,37.375674
"Solano County","Vacaville",95688,"318 North West Street",425000,3,5227,1294,"1958","2006-05-28",-121.99264,38.364299
"Solano County","Suisun City",94585,"220 Redstone Circle",350000,4,2696,1568,"1993","2004-09-19",-122.022926,38.247201
"Santa Clara County","Milpitas",95035,"787 Parc Lane",380000,NA,NA,NA,NA,"2005-10-16",-121.900757,37.419924
"Alameda County","Berkeley",94709,"2135 Cedar Street",750000,4,4620,1928,"1907","2003-12-21",-122.267153,37.8788
"Alameda County","San Lorenzo",94580,"15990 Nielson Avenue",3e+05,NA,NA,NA,NA,"2005-08-14",-122.138686,37.676128
"San Mateo County","San Carlos",94070,"810 Sunset Drive",755000,3,6500,2170,"1958","2003-09-21",-122.269717,37.49158
"Solano County","Fairfield",94534,"509 Clearwater Oak Court",512000,3,4250,1328,"2002","2005-11-20",-122.028921,38.255525
"Napa County","Napa",94559,"1213 Banks Avenue",479000,2,5663,938,"1940","2005-02-13",-122.272621,38.303829
"San Francisco County","San Francisco",94116,"2215 Rivera Street",750000,3,2375,1458,"1954","2004-01-04",-122.49004,37.746149
"Santa Clara County","Berryessa",95116,"725 Bonita Avenue",355000,NA,NA,NA,NA,"2005-05-22",-121.855383,37.340596
"Alameda County","Alameda",94501,"950 Shorepoint Court \#118",475000,NA,NA,NA,NA,"2005-06-26",-122.271107,37.76427
"Contra Costa County","San Pablo",94806,"1715 15th Street",299000,3,6148,843,"1906","2004-07-04",-122.354991,37.957232
"San Mateo County","Foster City",94404,"3106 Admiralty Lane",270000,NA,NA,NA,NA,"2003-05-18",-122.268462,37.559913
"Contra Costa County","Pittsburg",94565,"399 Schooner Way",325000,3,7000,1048,"1978","2004-06-06",-121.923482,38.020726
"Santa Clara county","Greater Downtown-metro Area",95112,"144 South 3rd Street \#327",572500,2,1307,1421,"1997","2005-11-13",NA,NA
"Contra Costa County","Richmond",94801,"722 Chanslor Avenue",458000,NA,2825,NA,NA,"2006-05-28",-122.362575,37.932515
"Contra Costa County","Concord",94521,"5451 Roundtree Place \#D",330000,2,702,925,"1970","2006-05-28",-121.96137,37.947938
"Santa Clara County","Gilroy",95020,"8701 Church Street",490000,4,8712,1976,"1998","2004-05-02",-121.58103,37.023729
"Contra Costa County","Richmond",94801,"420 19th Street",190000,2,4294,824,"1907","2004-07-11",-122.351472,37.937507
"San Mateo county","Half Moon Bay",94019,"60 San Andreas Avenue",1585000,4,7040,3070,"1990","2003-05-11",-122.457703,37.492797
"Alameda County","Oakland",94618,"110 Beechwood Drive",2100000,6,12192,4702,"1995","2005-08-14",-122.239287,37.842899
"Santa Clara County","North San Jose",95131,"1274 Goose Pointe Common",397000,3,1307,1651,"1995","2003-06-29",-121.89537,37.386594
"Solano County","Vallejo",94589,"111 Los Gatos Drive",291500,3,5662,900,"1954","2003-10-05",-122.237648,38.12738
"Contra Costa County","San Ramon",94582,"544 Ivy Pointe Circle",750000,4,2260,2011,"1994","2005-12-04",-121.952138,37.75735
"Alameda County","San Leandro",94578,"16703 Rolando Avenue",838000,4,NA,2691,"2002","2005-10-23",-122.099496,37.69881
"Alameda County","Hayward",94545,"2764 Oliver Drive",315500,2,912,988,"1971","2006-01-01",-122.094273,37.627181
"Alameda County","Fremont",94538,"5570 Cosmos Common",590000,3,NA,1309,"1994","2006-02-05",-121.983837,37.521596
"Santa Clara County","Campbell",95008,"125 Orchard Oak Circle",576500,3,1307,1895,"1997","2004-03-21",-121.955026,37.283909
"Alameda County","Hayward",94542,"28812 Bay Heights Road",840000,5,11723,2944,NA,"2003-11-02",-122.02034,37.651713
"Contra Costa County","Richmond",94806,"2926 Alta Mira Drive",415000,4,5500,1165,"1955","2005-05-01",-122.326399,37.973248
"Napa County","American Canyon",94503,"54 Entrada Circle",495500,NA,NA,NA,NA,"2004-08-29",-122.245314,38.160409
"Alameda County","Pleasanton",94566,"2546 Vineyard Avenue",1494500,NA,363563,NA,NA,"2006-03-05",-121.835478,37.664274
"Santa Clara County","Evergreen",95148,"3097 Balgray Court",5e+05,4,5663,1538,"1976","2005-02-13",-121.803975,37.312476
"Alameda county","Fremont",94536,"945 Huntington Common",365000,2,NA,840,"1988","2004-09-19",-121.9711,37.562812
"Contra Costa County","Bay Point",94565,"170 Riverside Place",410000,3,6000,1206,"1970","2005-03-13",-121.96132,38.028121
"Sonoma County","Rohnert Park",94928,"1566 Parkway Drive",361000,3,1095,1104,"1984","2005-10-16",-122.682953,38.349324
"Contra Costa County","San Pablo",94806,"1959 Mason Street",505000,3,4536,1403,"1964","2006-01-29",-122.345054,37.959093
"Alameda County","Oakland",94619,"4609 Rising Hill Court",3825000,7,35413,10898,"1999","2006-01-08",-122.162159,37.784307
"San Francisco County","San Francisco",94117,"725 Fell Street #8",710000,2,NA,930,"1990","2005-03-06",NA,NA
"Contra Costa County","Martinez",94553,"163 Holiday Hills Drive",334000,2,1632,559,"1973","2004-08-22",-122.091357,37.993036
"Santa Clara County","West San Jose",95126,"822 Pershing Avenue",580000,3,4792,1260,"1923","2003-12-14",-121.911737,37.336526
"Sonoma County","Santa Rosa",95407,"4505 Maitland Avenue",450000,NA,4396,NA,NA,"2004-10-31",-122.727509,38.404991
"Contra Costa County","Richmond",94805,"5034 Garvin Avenue",465000,2,4800,882,"1936","2006-03-26",-122.327863,37.94412
"Contra Costa County","Pittsburg",94565,"42 Nautilus Place",227500,3,3193,949,"1973","2004-01-11",-121.922456,38.02492
"Santa Clara County","Berryessa",95133,"2791 Valley Heights Drive",550000,4,8712,1590,"1969","2004-07-04",-121.848779,37.379695
"Alameda County","Hayward",94541,"21856 Prospect Street",650000,3,6000,1765,"1935","2006-05-14",-122.09044,37.679215
"Solano County","Vallejo",94591,"744 Pueblo Way",537000,5,11916,2090,"1988","2005-09-18",-122.21927,38.079037
"Alameda County","Oakland",94601,"1231 53rd Avenue",270000,2,6000,890,"1906","2003-11-16",-122.207998,37.766611
"San Mateo County","South San Francisco",94080,"7 Mandalay Place",1013000,NA,NA,NA,NA,"2005-01-02",-122.4301,37.652857
"Solano County","Vallejo",94591,"409 Home Acres Avenue",320000,2,5227,1152,"1953","2004-12-26",-122.219495,38.091472
"Alameda County","San Leandro",94577,"2276 Wimbledon Place",550000,2,1742,1723,"1980","2005-09-11",-122.149197,37.715089
"Contra Costa County","Lafayette",94549,"3370 Stage Coach Drive",1850000,5,14378,4069,"1989","2005-05-15",-122.111615,37.891224
"San Mateo County","Half Moon Bay",94019,"320 Correas Street",1220000,NA,7500,NA,NA,"2005-03-06",-122.43993,37.462498
"Santa Clara County","Cambrian",95124,"4118 Kirk Road",547000,4,5663,1688,"1971","2004-06-13",-121.905349,37.259416
"Napa County","American Canyon",94503,"132 Corsicana Drive",422500,4,8712,1181,"1957","2004-10-31",-122.266158,38.177782
"Alameda County","Dublin",94568,"4193 Clarinbridge Circle",593500,NA,NA,NA,NA,"2005-10-23",-121.925676,37.714179
"Santa Clara County","Evergreen",95138,"1067 Esparanza Way",558000,2,1307,1291,"1999","2005-07-24",-121.761451,37.243539
"Contra Costa county","El Sobrante",94803,"1129 Kelvin Road",555000,3,7500,1326,"1984","2005-10-09",-122.304689,37.988124
"Marin County","Mill Valley",94941,"180 Almonte Boulevard",635000,2,6930,1307,"1952","2004-02-08",-122.525132,37.886945
"Contra Costa County","Walnut Creek",94597,"20 Iron Horse Lane",555000,1,NA,1144,"2001","2005-03-06",-122.047373,37.909956
"Contra Costa County","Oakley",94561,"390 Delta Road",785000,3,50530,2272,"1951","2006-04-30",-121.689165,37.968936
"Alameda County","Fremont",94538,"42774 Philadelphia Place",485000,3,5000,1000,"1958","2005-01-30",-121.951737,37.522216
"Alameda County","Livermore",94551,"1337 Tulip Way",405000,2,6594,1036,"1963","2004-10-10",-121.740519,37.711122
"Solano County","Vallejo",94591,"105 West Shoal Drive",406000,3,1888,1753,"2002","2003-11-16",-122.212814,38.096611
"Santa Clara county","Milpitas",95035,"831 Horcajo Street",676000,3,5663,1290,"1971","2005-10-02",-121.895937,37.448448
"Alameda County","Fremont",94538,"3363 Deodara Street",585000,3,7680,1156,"1958","2005-08-28",-121.970586,37.544954
"Marin County","Belvedere/tiburon",94920,"35 Mt. Tiburon Road",2275000,3,23400,2766,"1978","2005-10-30",NA,NA
"Contra Costa County","Brentwood",94513,"492 Montecito Drive",565000,4,5183,2358,"2002","2004-09-19",-121.742389,37.938504
"Santa Clara County","Gilroy",95020,"7551 Chestnut Street",3e+05,2,6970,1100,"1952","2004-03-21",-121.564897,37.010145
"Sonoma County","Santa Rosa",95407,"2778 Coleman Glen Lane",435000,NA,3485,NA,NA,"2004-01-11",-122.727509,38.404991
"Santa Clara County","Greater Downtown-metro Area",95112,"1060 South 3rd Street \#257",315000,NA,NA,NA,NA,"2006-02-05",NA,NA
"Contra Costa County","Concord",94521,"4888 Clayton Road \#32",302000,2,68825,962,"1969","2005-06-26",-121.976785,37.958733
"Solano County","Rio Vista",94571,"313 Willow Brook Way",362500,NA,4276,NA,NA,"2005-10-30",-121.695849,38.163913
"Santa Clara County","Cupertino",95014,"18721 Hanna Drive",543000,3,5940,1249,"1955","2003-09-07",-121.999598,37.311292
"Contra Costa County","Walnut Creek",94595,"1860 Tice Creek Drive #1141",285000,2,NA,907,"1990","2003-06-22",NA,NA
"Napa County","St Helena",94574,"1480 Zinfandel Lane",2375000,4,48352,3748,"1994","2004-11-28",-122.446037,38.479983
"San Mateo County","South San Francisco",94080,"437 Forest View Drive",745000,3,4500,1050,"1954","2005-11-20",-122.432492,37.667122
"Santa Clara County","Mountain View",94043,"478 Quincy Drive",880000,3,4792,1713,"1954","2005-10-23",-122.099705,37.411241
"Alameda county","Newark",94560,"39826 Potrero Drive",695000,4,3080,1720,"1996","2005-08-21",-121.995851,37.516094
"Contra Costa County","Richmond",94804,"270 South 18th Street",280000,3,3750,1216,"1942","2004-04-04",-122.351972,37.928456
"Contra Costa County","Richmond",94801,"1932 Rheem Avenue",415000,2,3800,804,"1942","2005-05-15",-122.350918,37.949614
"San Francisco County","San Francisco",94123,"3118 Scott Street",1050000,NA,2000,1662,"1922","2005-01-02",-122.440823,37.798495
"San Francisco County","San Francisco",94103,"765 Market Street \#3A",4800000,4,NA,2757,"2001","2006-04-02",-122.404933,37.786461
"San Mateo County","East Palo Alto",94303,"2192 Cooley Avenue",480000,2,6156,930,"1924","2005-05-01",-122.139205,37.46578
"Alameda County","Fremont",94536,"2668 Barrington Terrace",480000,2,4073,1466,"1988","2003-12-14",-122.006106,37.567704
"Santa Clara County","San Jose",95123,"6386 Pearlroth Drive",535000,3,5663,1617,"1969","2004-06-27",-121.812504,37.227861
"Santa Clara County","Greater Downtown-metro Area",95112,"130 East San Fernando Street \#518",625000,2,550,1622,"1998","2005-11-13",NA,NA
"Marin county","Mill Valley",94941,"390 Edgewood Avenue",4250000,2,28800,1269,"1904","2005-11-06",-122.559518,37.903239
"Alameda County","Fremont",94536,"3660 Knollwood Terrace #304",222500,1,NA,936,NA,"2003-12-07",NA,NA
"Santa Clara County","Sunnyvale",94086,"210 West Red Oak Drive",307500,2,1307,926,"1971","2004-06-20",-122.010259,37.371805
"Alameda County","San Leandro",94578,"753 Fountainhead Drive",575000,NA,3825,1812,"1978","2004-10-10",-122.132982,37.694479
"Solano County","Benicia",94510,"2130 Via Alta",530000,3,6098,1586,"1969","2006-04-30",-122.14114,38.057031
"San Francisco County","San Francisco",94131,"150 Valley Street",1855000,NA,2850,3838,"1950","2005-08-07",-122.425626,37.744574
"Alameda County","Emeryville",94608,"6363 Christie Avenue \#903",385000,1,NA,768,"1984","2005-05-22",-122.287253,37.835926
"Sonoma county","Santa Rosa",95405,"2203 Old Ranch Place",8e+05,4,16476,2910,"1991","2004-10-31",-122.657633,38.433689
"Contra Costa County","Richmond",94806,"2858 Loyola Avenue",349000,NA,NA,NA,NA,"2004-05-30",-122.332607,37.968849
"Contra Costa county","Pittsburg",94565,"1182 Red Leaf Way",595000,4,5300,2025,"1993","2006-05-21",-121.92738,38.026965
"Contra Costa County","Brentwood",94513,"2421 Spyglass Drive",779000,NA,NA,NA,NA,"2005-07-31",-121.741064,37.911938
"Contra Costa County","Walnut Creek",94598,"1661 Arkell Road",650000,3,9680,1722,"1964","2004-06-13",-122.038264,37.933872
